"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","534","Verify Skills & Technologies section","ChirangV Website Test Suite","Mon Nov 17 00:56:18 UTC 2025","passed","Mon Nov 17 00:56:18 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testSkillsSection"
"","1679","Verify navigation back to home from login page","ChirangV Website Test Suite","Mon Nov 17 00:56:12 UTC 2025","passed","Mon Nov 17 00:56:13 UTC 2025","com.chirangv.tests.LoginPageTest","Website Automation Tests","com.chirangv.tests.LoginPageTest","testBackToHomeNavigation"
"","600","Test login with empty fields","ChirangV Website Test Suite","Mon Nov 17 00:56:11 UTC 2025","passed","Mon Nov 17 00:56:12 UTC 2025","com.chirangv.tests.LoginPageTest","Website Automation Tests","com.chirangv.tests.LoginPageTest","testLoginWithEmptyFields"
"Validate that clicking the Developer link navigates to the developer portfolio page","1094","Verify navigation to Developer page from Home page","ChirangV Website Test Suite","Mon Nov 17 00:56:02 UTC 2025","passed","Mon Nov 17 00:56:03 UTC 2025","com.chirangv.tests.HomePageTest","Website Automation Tests","com.chirangv.tests.HomePageTest","testNavigationToDeveloperPage"
"","585","Verify welcome message on Home page","ChirangV Website Test Suite","Mon Nov 17 00:56:03 UTC 2025","passed","Mon Nov 17 00:56:04 UTC 2025","com.chirangv.tests.HomePageTest","Website Automation Tests","com.chirangv.tests.HomePageTest","testWelcomeMessage"
"","566","Verify Google sign-in option is available","ChirangV Website Test Suite","Mon Nov 17 00:56:07 UTC 2025","passed","Mon Nov 17 00:56:07 UTC 2025","com.chirangv.tests.LoginPageTest","Website Automation Tests","com.chirangv.tests.LoginPageTest","testGoogleSignInOption"
"","2631","Test login with valid credentials from test data","ChirangV Website Test Suite","Mon Nov 17 00:56:07 UTC 2025","passed","Mon Nov 17 00:56:10 UTC 2025","com.chirangv.tests.LoginPageTest","Website Automation Tests","com.chirangv.tests.LoginPageTest","testLoginWithValidCredentials"
"","800","Verify page title on login page","ChirangV Website Test Suite","Mon Nov 17 00:56:14 UTC 2025","passed","Mon Nov 17 00:56:14 UTC 2025","com.chirangv.tests.LoginPageTest","Website Automation Tests","com.chirangv.tests.LoginPageTest","testLoginPageTitle"
"","1043","Test login with invalid email format","ChirangV Website Test Suite","Mon Nov 17 00:56:10 UTC 2025","passed","Mon Nov 17 00:56:11 UTC 2025","com.chirangv.tests.LoginPageTest","Website Automation Tests","com.chirangv.tests.LoginPageTest","testLoginWithInvalidEmail"
"Tests the complete user flow from login, navigation, sending message, to admin verification","3787","Complete end-to-end user journey with message verification","ChirangV Website Test Suite","Mon Nov 17 00:56:25 UTC 2025","failed","Mon Nov 17 00:56:29 UTC 2025","com.chirangv.tests.EndToEndTest","Website Automation Tests","com.chirangv.tests.EndToEndTest","testCompleteUserJourney"
"","639","Verify Developer Resources section","ChirangV Website Test Suite","Mon Nov 17 00:56:19 UTC 2025","passed","Mon Nov 17 00:56:19 UTC 2025","com.chirangv.tests.DeveloperPageTest","Website Automation Tests","com.chirangv.tests.DeveloperPageTest","testDeveloperResourcesSection"
